/rdsdbbin/mysql/bin/mysqld, Version: 5.7.37-log (Source distribution). started with:
Tcp port: 3306  Unix socket: /tmp/mysql.sock
Time                 Id Command    Argument
2023-06-19T12:11:14.359539Z	    2 Connect	rdsadmin@localhost on  using TCP/IP
2023-06-19T12:17:04.356796Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:17:04.392662Z	    2 Query	SELECT 1
2023-06-19T12:17:04.393197Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:17:04.576507Z	    2 Query	SELECT 1
2023-06-19T12:17:04.577064Z	    2 Query	select info from information_schema.processlist where user = 'rdsadmin' and host like 'localhost%'
2023-06-19T12:17:04.595797Z	    2 Query	SELECT 1
2023-06-19T12:17:04.596360Z	    2 Query	select count(*) from mysql.user WHERE concat(trim(user), '@', trim(host)) NOT IN ('rdsadmin@localhost') AND (Shutdown_priv = 'y' OR File_priv = 'y' OR Super_priv = 'y')
2023-06-19T12:17:04.597894Z	    2 Query	SELECT 1
2023-06-19T12:17:04.598363Z	    2 Query	select count(*) from information_schema.routines where ROUTINE_SCHEMA <> 'mysql' and DEFINER = 'rdsadmin@localhost'
2023-06-19T12:17:04.605187Z	    2 Query	SELECT 1
2023-06-19T12:17:04.605665Z	    2 Query	select count(*) from performance_schema.global_variables
where variable_name = 'general_log_file'
and variable_value <> '/rdsdbdata/log/general/mysql-general.log'
and (select variable_value from performance_schema.global_variables where variable_name = 'character_set_filesystem') not in ('ucs2', 'utf16', 'utf32')
2023-06-19T12:17:04.608758Z	    2 Query	SELECT 1
2023-06-19T12:17:04.609250Z	    2 Query	select count(*) from performance_schema.global_variables
where variable_name = 'slow_query_log_file'
and variable_value <> '/rdsdbdata/log/slowquery/mysql-slowquery.log'
and (select variable_value from performance_schema.global_variables where variable_name = 'character_set_filesystem') not in ('ucs2', 'utf16', 'utf32')
2023-06-19T12:17:04.611405Z	    2 Query	SELECT 1
2023-06-19T12:17:04.611887Z	    2 Query	select count(*) from information_schema.events where definer = 'rdsadmin@localhost' and (EVENT_SCHEMA <> 'mysql' or (EVENT_SCHEMA = 'mysql' and EVENT_NAME not in ('ev_rds_gsh_collector', 'ev_rds_gsh_table_rotation', 'ev_gsh_collector', 'ev_gsh_table_rotation')))
2023-06-19T12:17:04.652773Z	    2 Query	SELECT 1
2023-06-19T12:17:04.659185Z	    2 Query	select lower(plugin_name) from information_schema.plugins
2023-06-19T12:17:04.663859Z	    2 Query	SELECT 1
2023-06-19T12:17:04.672589Z	    2 Query	select lower(plugin_name) from information_schema.plugins
2023-06-19T12:17:19.353567Z	    2 Query	SELECT 1
2023-06-19T12:17:19.354111Z	    2 Query	SELECT 1
2023-06-19T12:17:19.354982Z	    2 Query	SELECT 1
2023-06-19T12:17:19.355501Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:17:19.356251Z	    2 Query	SELECT 1
2023-06-19T12:17:19.356693Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:17:19.391535Z	    2 Query	SELECT 1
2023-06-19T12:17:19.392052Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:17:34.354363Z	    2 Query	SELECT 1
2023-06-19T12:17:34.355033Z	    2 Query	SELECT 1
2023-06-19T12:17:34.355926Z	    2 Query	SELECT 1
2023-06-19T12:17:34.356473Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:17:34.357227Z	    2 Query	SELECT 1
2023-06-19T12:17:34.357687Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:17:34.381874Z	    6 Connect	rdsadmin@localhost on  using Socket
2023-06-19T12:17:34.381950Z	    6 Statistics	
2023-06-19T12:17:34.384787Z	    6 Quit	
2023-06-19T12:17:34.418570Z	    2 Query	SELECT 1
2023-06-19T12:17:34.419169Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:17:49.353956Z	    2 Query	SELECT 1
2023-06-19T12:17:49.354497Z	    2 Query	SELECT 1
2023-06-19T12:17:49.355595Z	    2 Query	SELECT 1
2023-06-19T12:17:49.356206Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:17:49.356944Z	    2 Query	SELECT 1
2023-06-19T12:17:49.357398Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:17:49.387565Z	    2 Query	SELECT 1
2023-06-19T12:17:49.388085Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:18:00.021392Z	    2 Query	SELECT 1
2023-06-19T12:18:00.082074Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:18:00.197002Z	    2 Query	SELECT 1
2023-06-19T12:18:00.247489Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'stop slave' GROUP BY action_timestamp,called_by_user,action,mysql_version,master_host,master_port ORDER BY action_timestamp LIMIT 1
2023-06-19T12:18:00.325185Z	    2 Query	SELECT 1
2023-06-19T12:18:00.340649Z	    2 Query	SELECT version()
2023-06-19T12:18:00.345328Z	    2 Query	SELECT 1
2023-06-19T12:18:00.347354Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:18:00.383468Z	    2 Query	SELECT 1
2023-06-19T12:18:00.407425Z	    2 Query	SELECT version()
2023-06-19T12:18:00.414191Z	    2 Query	SELECT 1
2023-06-19T12:18:00.414952Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:18:04.353201Z	    2 Query	SELECT 1
2023-06-19T12:18:04.353859Z	    2 Query	SELECT 1
2023-06-19T12:18:04.354769Z	    2 Query	SELECT 1
2023-06-19T12:18:04.355346Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:18:04.356260Z	    2 Query	SELECT 1
2023-06-19T12:18:04.356987Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:18:04.387827Z	    2 Query	SELECT 1
2023-06-19T12:18:04.388323Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:18:19.353651Z	    2 Query	SELECT 1
2023-06-19T12:18:19.354208Z	    2 Query	SELECT 1
2023-06-19T12:18:19.355125Z	    2 Query	SELECT 1
2023-06-19T12:18:19.355647Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:18:19.356421Z	    2 Query	SELECT 1
2023-06-19T12:18:19.356875Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:18:19.391427Z	    2 Query	SELECT 1
2023-06-19T12:18:19.391961Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:18:34.353065Z	    2 Query	SELECT 1
2023-06-19T12:18:34.353703Z	    2 Query	SELECT 1
2023-06-19T12:18:34.354574Z	    2 Query	SELECT 1
2023-06-19T12:18:34.355135Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:18:34.355913Z	    2 Query	SELECT 1
2023-06-19T12:18:34.356390Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:18:34.387159Z	    2 Query	SELECT 1
2023-06-19T12:18:34.387685Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:18:49.353684Z	    2 Query	SELECT 1
2023-06-19T12:18:49.354225Z	    2 Query	SELECT 1
2023-06-19T12:18:49.355104Z	    2 Query	SELECT 1
2023-06-19T12:18:49.355619Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:18:49.356370Z	    2 Query	SELECT 1
2023-06-19T12:18:49.356806Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:18:49.390403Z	    2 Query	SELECT 1
2023-06-19T12:18:49.390981Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:19:00.019960Z	    2 Query	SELECT 1
2023-06-19T12:19:00.086695Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:19:00.198162Z	    2 Query	SELECT 1
2023-06-19T12:19:00.244984Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'stop slave' GROUP BY action_timestamp,called_by_user,action,mysql_version,master_host,master_port ORDER BY action_timestamp LIMIT 1
2023-06-19T12:19:00.322704Z	    2 Query	SELECT 1
2023-06-19T12:19:00.339751Z	    2 Query	SELECT version()
2023-06-19T12:19:00.343985Z	    2 Query	SELECT 1
2023-06-19T12:19:00.346104Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:19:00.403174Z	    2 Query	SELECT 1
2023-06-19T12:19:00.419012Z	    2 Query	SELECT version()
2023-06-19T12:19:00.429373Z	    2 Query	SELECT 1
2023-06-19T12:19:00.431025Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:19:04.353320Z	    2 Query	SELECT 1
2023-06-19T12:19:04.353966Z	    2 Query	SELECT 1
2023-06-19T12:19:04.354858Z	    2 Query	SELECT 1
2023-06-19T12:19:04.355423Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:19:04.356185Z	    2 Query	SELECT 1
2023-06-19T12:19:04.356641Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:19:04.388267Z	    2 Query	SELECT 1
2023-06-19T12:19:04.388831Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:19:19.353364Z	    2 Query	SELECT 1
2023-06-19T12:19:19.353916Z	    2 Query	SELECT 1
2023-06-19T12:19:19.354763Z	    2 Query	SELECT 1
2023-06-19T12:19:19.355313Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:19:19.356063Z	    2 Query	SELECT 1
2023-06-19T12:19:19.356498Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:19:19.386777Z	    2 Query	SELECT 1
2023-06-19T12:19:19.387394Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:19:34.373807Z	    2 Query	SELECT 1
2023-06-19T12:19:34.374364Z	    2 Query	SELECT 1
2023-06-19T12:19:34.375245Z	    2 Query	SELECT 1
2023-06-19T12:19:34.375771Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:19:34.376502Z	    2 Query	SELECT 1
2023-06-19T12:19:34.376941Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:19:34.407976Z	    2 Query	SELECT 1
2023-06-19T12:19:34.408490Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:19:49.353180Z	    2 Query	SELECT 1
2023-06-19T12:19:49.353757Z	    2 Query	SELECT 1
2023-06-19T12:19:49.354624Z	    2 Query	SELECT 1
2023-06-19T12:19:49.355205Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:19:49.355971Z	    2 Query	SELECT 1
2023-06-19T12:19:49.356442Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:19:49.388048Z	    2 Query	SELECT 1
2023-06-19T12:19:49.388597Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:20:00.058920Z	    2 Query	SELECT 1
2023-06-19T12:20:00.199022Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:20:00.284820Z	    2 Query	SELECT 1
2023-06-19T12:20:00.357342Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'stop slave' GROUP BY action_timestamp,called_by_user,action,mysql_version,master_host,master_port ORDER BY action_timestamp LIMIT 1
2023-06-19T12:20:00.476471Z	    2 Query	SELECT 1
2023-06-19T12:20:00.537295Z	    2 Query	SELECT version()
2023-06-19T12:20:00.553081Z	    2 Query	SELECT 1
2023-06-19T12:20:00.567235Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:20:00.591070Z	    2 Query	SELECT 1
2023-06-19T12:20:00.592000Z	    2 Query	SELECT version()
2023-06-19T12:20:00.593190Z	    2 Query	SELECT 1
2023-06-19T12:20:00.594934Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:20:00.604789Z	    2 Query	SELECT 1
2023-06-19T12:20:00.615685Z	    2 Query	SELECT @@session.transaction_read_only
2023-06-19T12:20:00.616230Z	    2 Query	flush logs
/rdsdbbin/mysql/bin/mysqld, Version: 5.7.37-log (Source distribution). started with:
Tcp port: 3306  Unix socket: /tmp/mysql.sock
Time                 Id Command    Argument
2023-06-19T12:20:04.353571Z	    2 Query	SELECT 1
2023-06-19T12:20:04.354206Z	    2 Query	SELECT 1
2023-06-19T12:20:04.355116Z	    2 Query	SELECT 1
2023-06-19T12:20:04.355650Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:20:04.356409Z	    2 Query	SELECT 1
2023-06-19T12:20:04.356876Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:20:04.387706Z	    2 Query	SELECT 1
2023-06-19T12:20:04.388210Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:20:11.250600Z	    4 Query	BEGIN
2023-06-19T12:20:11.250780Z	    4 Query	INSERT INTO mysql.rds_heartbeat2(id, value) values (1,1687177211205) ON DUPLICATE KEY UPDATE value = 1687177211205
2023-06-19T12:20:11.250797Z	    4 Query	COMMIT /* implicit, from Xid_log_event */
2023-06-19T12:20:19.353526Z	    2 Query	SELECT 1
2023-06-19T12:20:19.354040Z	    2 Query	SELECT 1
2023-06-19T12:20:19.354900Z	    2 Query	SELECT 1
2023-06-19T12:20:19.355405Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:20:19.356153Z	    2 Query	SELECT 1
2023-06-19T12:20:19.356589Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:20:19.386801Z	    2 Query	SELECT 1
2023-06-19T12:20:19.387417Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:20:34.353929Z	    2 Query	SELECT 1
2023-06-19T12:20:34.354443Z	    2 Query	SELECT 1
2023-06-19T12:20:34.355320Z	    2 Query	SELECT 1
2023-06-19T12:20:34.355835Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:20:34.356588Z	    2 Query	SELECT 1
2023-06-19T12:20:34.357028Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:20:34.387621Z	    2 Query	SELECT 1
2023-06-19T12:20:34.388170Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:20:49.353408Z	    2 Query	SELECT 1
2023-06-19T12:20:49.353963Z	    2 Query	SELECT 1
2023-06-19T12:20:49.354807Z	    2 Query	SELECT 1
2023-06-19T12:20:49.355364Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:20:49.356102Z	    2 Query	SELECT 1
2023-06-19T12:20:49.356554Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:20:49.388643Z	    2 Query	SELECT 1
2023-06-19T12:20:49.389161Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:21:00.020686Z	    2 Query	SELECT 1
2023-06-19T12:21:00.088930Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:21:00.475019Z	    2 Query	SELECT 1
2023-06-19T12:21:00.476390Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'stop slave' GROUP BY action_timestamp,called_by_user,action,mysql_version,master_host,master_port ORDER BY action_timestamp LIMIT 1
2023-06-19T12:21:00.478909Z	    2 Query	SELECT 1
2023-06-19T12:21:00.479518Z	    2 Query	SELECT version()
2023-06-19T12:21:00.480662Z	    2 Query	SELECT 1
2023-06-19T12:21:00.481138Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:21:00.482790Z	    2 Query	SELECT 1
2023-06-19T12:21:00.483393Z	    2 Query	SELECT version()
2023-06-19T12:21:00.484386Z	    2 Query	SELECT 1
2023-06-19T12:21:00.484855Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:21:04.353104Z	    2 Query	SELECT 1
2023-06-19T12:21:04.353637Z	    2 Query	SELECT 1
2023-06-19T12:21:04.354519Z	    2 Query	SELECT 1
2023-06-19T12:21:04.355088Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:21:04.355877Z	    2 Query	SELECT 1
2023-06-19T12:21:04.356335Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:21:04.388205Z	    2 Query	SELECT 1
2023-06-19T12:21:04.388757Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:21:19.353086Z	    2 Query	SELECT 1
2023-06-19T12:21:19.353607Z	    2 Query	SELECT 1
2023-06-19T12:21:19.354445Z	    2 Query	SELECT 1
2023-06-19T12:21:19.354998Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:21:19.355729Z	    2 Query	SELECT 1
2023-06-19T12:21:19.356181Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:21:19.390925Z	    2 Query	SELECT 1
2023-06-19T12:21:19.391475Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:21:34.353822Z	    2 Query	SELECT 1
2023-06-19T12:21:34.354389Z	    2 Query	SELECT 1
2023-06-19T12:21:34.355314Z	    2 Query	SELECT 1
2023-06-19T12:21:34.355854Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:21:34.356627Z	    2 Query	SELECT 1
2023-06-19T12:21:34.357088Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:21:34.392283Z	    2 Query	SELECT 1
2023-06-19T12:21:34.392805Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:21:49.353504Z	    2 Query	SELECT 1
2023-06-19T12:21:49.354027Z	    2 Query	SELECT 1
2023-06-19T12:21:49.354909Z	    2 Query	SELECT 1
2023-06-19T12:21:49.355429Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:21:49.356178Z	    2 Query	SELECT 1
2023-06-19T12:21:49.356638Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:21:49.392945Z	    2 Query	SELECT 1
2023-06-19T12:21:49.393462Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:22:00.021631Z	    2 Query	SELECT 1
2023-06-19T12:22:00.084313Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:22:00.417762Z	    2 Query	SELECT 1
2023-06-19T12:22:00.513789Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'stop slave' GROUP BY action_timestamp,called_by_user,action,mysql_version,master_host,master_port ORDER BY action_timestamp LIMIT 1
2023-06-19T12:22:00.516739Z	    2 Query	SELECT 1
2023-06-19T12:22:00.517370Z	    2 Query	SELECT version()
2023-06-19T12:22:00.518507Z	    2 Query	SELECT 1
2023-06-19T12:22:00.519095Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:22:00.520422Z	    2 Query	SELECT 1
2023-06-19T12:22:00.521010Z	    2 Query	SELECT version()
2023-06-19T12:22:00.522028Z	    2 Query	SELECT 1
2023-06-19T12:22:00.522483Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:22:04.353915Z	    2 Query	SELECT 1
2023-06-19T12:22:04.354479Z	    2 Query	SELECT 1
2023-06-19T12:22:04.355380Z	    2 Query	SELECT 1
2023-06-19T12:22:04.355923Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:22:04.356676Z	    2 Query	SELECT 1
2023-06-19T12:22:04.357147Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:22:04.392315Z	    2 Query	SELECT 1
2023-06-19T12:22:04.392846Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:22:19.353458Z	    2 Query	SELECT 1
2023-06-19T12:22:19.354019Z	    2 Query	SELECT 1
2023-06-19T12:22:19.354894Z	    2 Query	SELECT 1
2023-06-19T12:22:19.355403Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:22:19.356154Z	    2 Query	SELECT 1
2023-06-19T12:22:19.356592Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:22:19.392576Z	    2 Query	SELECT 1
2023-06-19T12:22:19.393097Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:22:34.353871Z	    2 Query	SELECT 1
2023-06-19T12:22:34.354428Z	    2 Query	SELECT 1
2023-06-19T12:22:34.355342Z	    2 Query	SELECT 1
2023-06-19T12:22:34.355879Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:22:34.356644Z	    2 Query	SELECT 1
2023-06-19T12:22:34.357103Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:22:34.392816Z	    2 Query	SELECT 1
2023-06-19T12:22:34.393352Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:22:49.353263Z	    2 Query	SELECT 1
2023-06-19T12:22:49.353797Z	    2 Query	SELECT 1
2023-06-19T12:22:49.354646Z	    2 Query	SELECT 1
2023-06-19T12:22:49.355190Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:22:49.355967Z	    2 Query	SELECT 1
2023-06-19T12:22:49.356408Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:22:49.378700Z	    7 Connect	rdsadmin@localhost on  using Socket
2023-06-19T12:22:49.378765Z	    7 Statistics	
2023-06-19T12:22:49.381523Z	    7 Quit	
2023-06-19T12:22:49.410083Z	    2 Query	SELECT 1
2023-06-19T12:22:49.410603Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:23:00.082716Z	    2 Query	SELECT 1
2023-06-19T12:23:00.150052Z	    2 Query	SHOW SLAVE STATUS
2023-06-19T12:23:00.261238Z	    2 Query	SELECT 1
2023-06-19T12:23:00.330980Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'stop slave' GROUP BY action_timestamp,called_by_user,action,mysql_version,master_host,master_port ORDER BY action_timestamp LIMIT 1
2023-06-19T12:23:00.443263Z	    2 Query	SELECT 1
2023-06-19T12:23:00.491072Z	    2 Query	SELECT version()
2023-06-19T12:23:00.527082Z	    2 Query	SELECT 1
2023-06-19T12:23:00.562934Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:23:00.631254Z	    2 Query	SELECT 1
2023-06-19T12:23:00.661607Z	    2 Query	SELECT version()
2023-06-19T12:23:00.685788Z	    2 Query	SELECT 1
2023-06-19T12:23:00.697724Z	    2 Query	SELECT count(*) from mysql.rds_replication_status WHERE action = 'start slave until' ORDER BY action LIMIT 1
2023-06-19T12:23:04.353656Z	    2 Query	SELECT 1
2023-06-19T12:23:04.354201Z	    2 Query	SELECT 1
2023-06-19T12:23:04.355089Z	    2 Query	SELECT 1
2023-06-19T12:23:04.355611Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:23:04.356350Z	    2 Query	SELECT 1
2023-06-19T12:23:04.356787Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:23:04.390497Z	    2 Query	SELECT 1
2023-06-19T12:23:04.391138Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:23:19.354004Z	    2 Query	SELECT 1
2023-06-19T12:23:19.354533Z	    2 Query	SELECT 1
2023-06-19T12:23:19.355440Z	    2 Query	SELECT 1
2023-06-19T12:23:19.355955Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:23:19.356721Z	    2 Query	SELECT 1
2023-06-19T12:23:19.357175Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:23:19.388822Z	    2 Query	SELECT 1
2023-06-19T12:23:19.389337Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:23:34.353265Z	    2 Query	SELECT 1
2023-06-19T12:23:34.353888Z	    2 Query	SELECT 1
2023-06-19T12:23:34.354758Z	    2 Query	SELECT 1
2023-06-19T12:23:34.355307Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:23:34.356090Z	    2 Query	SELECT 1
2023-06-19T12:23:34.356553Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:23:34.387450Z	    2 Query	SELECT 1
2023-06-19T12:23:34.387978Z	    2 Query	SELECT @@GLOBAL.read_only
2023-06-19T12:23:49.353740Z	    2 Query	SELECT 1
2023-06-19T12:23:49.354296Z	    2 Query	SELECT 1
2023-06-19T12:23:49.355205Z	    2 Query	SELECT 1
2023-06-19T12:23:49.355735Z	    2 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2023-06-19T12:23:49.356506Z	    2 Query	SELECT 1
2023-06-19T12:23:49.356960Z	    2 Query	SELECT value FROM mysql.rds_heartbeat2
2023-06-19T12:23:49.388990Z	    2 Query	SELECT 1
2023-06-19T12:23:49.389535Z	    2 Query	SELECT @@GLOBAL.read_only
